,,Baby1,,,Baby2,,,Cloth3,,,Cloth3,
,,Illum2,,,Illum3,,,Illum1,,,Illum2,
,Exp0,Exp1,Exp2,Exp0,Exp1,Exp2,Exp0,Exp1,Exp2,Exp0,Exp1,Exp2
CostFilter-HDR,,7.656241,,,8.205487,,,2.342338,,,2.344988,
CostFilter-LDR,8.511266,7.671286,7.383105,8.393718,7.800416,7.461087,2.513906,2.222237,2.288486,2.140681,2.263796,2.532527
SemiGlob-HDR,,40.929805,,,40.200979,,,27.838848,,,23.810885,
SemiGlob-LDR,36.653793,28.227771,26.318922,36.421651,27.636539,25.820924,27.924873,23.34247,23.183969,23.722041,23.806192,24.188501
SSMP-HDR,,7.730158,,,8.508594,,,2.528838,,,2.841632,
SSMP-LDR,9.552285,8.412315,8.268293,8.632072,8.457348,8.241993,2.953829,2.296285,2.406758,2.213733,2.418504,2.610264
