,,Aloe,,,Aloe,,,Aloe,,,Baby1,
,,Illum1,,,Illum2,,,Illum3,,,Illum1,
,Exp0,Exp1,Exp2,Exp0,Exp1,Exp2,Exp0,Exp1,Exp2,Exp0,Exp1,Exp2
CostFilter-HDR,,10.5601,,,9.485,,,10.2241,,,15.8739,
CostFilter-LDR,14.3107,8.6379,7.3832,12.1138,7.6327,6.8886,12.7334,7.6222,6.5761,22.1137,12.61,11.7812
SemiGlob-HDR,,25.6981,,,24.5632,,,25.7534,,,31.0712,
SemiGlob-LDR,25.0211,19.5558,18.5555,23.3308,19.2169,18.3614,25.0355,20.468,19.2431,29.8626,19.8844,16.6329
SSMP-HDR,,11.0758,,,10.6646,,,10.3838,,,19.9357,
SSMP-LDR,19.8795,10.3882,8.8466,16.289,8.937,7.6195,14.7509,9.0516,7.9415,38.3126,14.0249,12.0671
