,,Cloth3,,,Midd1,,,Midd2,,,Monopoly,
,,Illum3,,,Illum2,,,Illum2,,,Illum2,
,Exp0,Exp1,Exp2,Exp0,Exp1,Exp2,Exp0,Exp1,Exp2,Exp0,Exp1,Exp2
CostFilter-HDR,,2.421232,,,12.809572,,,9.509858,,,6.370229,
CostFilter-LDR,2.318061,2.253166,2.425352,16.562021,15.32695,32.163753,12.233618,11.80046,30.817319,9.712566,18.539122,32.779233
SemiGlob-HDR,,23.417206,,,27.242021,,,26.40699,,,31.439887,
SemiGlob-LDR,23.208917,23.550864,24.035603,23.503187,23.968582,50.849491,23.905366,23.052968,49.761127,23.110402,24.31458,50.977137
SSMP-HDR,,2.932481,,,13.248041,,,10.891008,,,5.132793,
SSMP-LDR,2.440035,2.442828,2.598794,16.71691,15.179717,31.498245,12.169497,11.711232,28.570909,6.827182,15.108296,32.043236
