,,Rocks2,,,Rocks2,,,Rocks2,,,Wood1,
,,Illum1,,,Illum2,,,Illum3,,,Illum2,
,Exp0,Exp1,Exp2,Exp0,Exp1,Exp2,Exp0,Exp1,Exp2,Exp0,Exp1,Exp2
CostFilter-HDR,,1.752557,,,1.900799,,,1.951175,,,5.883682,
CostFilter-LDR,3.3331,1.70138,1.598688,2.717056,1.778915,1.608286,2.229028,1.938457,1.672756,6.274681,2.774647,2.987894
SemiGlob-HDR,,22.00058,,,24.267701,,,17.428,,,76.946019,
SemiGlob-LDR,21.65567,15.281327,14.977156,24.733109,14.923477,14.394207,16.759559,14.333563,14.493489,74.879156,41.593871,31.669794
SSMP-HDR,,1.621627,,,1.71978,,,2.112811,,,4.31307,
SSMP-LDR,3.560708,1.680177,1.659641,6.548309,1.839324,1.623727,2.16284,1.953772,1.753899,12.356395,2.522259,2.647321
