,,Baby1,,,Baby2,,,Cloth3,,,Cloth3,
,,Illum2,,,Illum3,,,Illum1,,,Illum2,
,Exp0,Exp1,Exp2,Exp0,Exp1,Exp2,Exp0,Exp1,Exp2,Exp0,Exp1,Exp2
CostFilter-HDR,,12.8852,,,12.2907,,,3.3194,,,3.1678,
CostFilter-LDR,18.5774,11.1543,8.7538,16.4616,10.3675,10.2523,4.6538,2.9648,2.8294,3.0355,2.8052,3.1125
SemiGlob-HDR,,28.4723,,,27.9715,,,11.2368,,,7.7316,
SemiGlob-LDR,26.6789,17.4644,15.4227,25.9842,16.9775,14.9178,11.4334,7.7863,7.0369,7.5254,6.9861,7.2694
SSMP-HDR,,13.6788,,,12.6247,,,3.3125,,,3.4216,
SSMP-LDR,23.3062,11.1051,8.9452,21.1075,10.4442,10.1045,7.1509,3.0636,2.9117,2.8942,2.8062,2.9698
