,,Reindeer,,,Rocks1,,,Rocks1,,,Rocks1,
,,Illum1,,,Illum1,,,Illum2,,,Illum3,
,Exp0,Exp1,Exp2,Exp0,Exp1,Exp2,Exp0,Exp1,Exp2,Exp0,Exp1,Exp2
CostFilter-HDR,,11.883321,,,2.073634,,,2.130987,,,1.900511,
CostFilter-LDR,14.212657,12.032497,11.919478,10.220672,6.527145,5.019128,4.75388,2.976589,1.773073,4.105729,1.75989,1.715163
SemiGlob-HDR,,44.974641,,,31.819116,,,29.966443,,,22.755496,
SemiGlob-LDR,42.761949,38.450598,39.166518,31.56261,19.704035,18.036534,27.88146,19.019287,18.186727,21.141351,18.595132,18.181049
SSMP-HDR,,11.650662,,,1.939998,,,1.854131,,,1.861633,
SSMP-LDR,13.227075,10.676454,11.111375,16.897331,7.287217,8.298412,6.818824,2.150986,1.68241,4.233117,1.936834,1.891821
