,,Aloe,,,Aloe,,,Aloe,,,Baby1,
,,Illum1,,,Illum2,,,Illum3,,,Illum1,
,Exp0,Exp1,Exp2,Exp0,Exp1,Exp2,Exp0,Exp1,Exp2,Exp0,Exp1,Exp2
CostFilter-HDR,,10.842572,,,10.162863,,,11.182175,,,9.839956,
CostFilter-LDR,12.245725,9.030586,8.452772,11.060686,8.23943,7.953942,11.602227,9.433944,8.941886,14.16361,11.515445,14.999738
SemiGlob-HDR,,41.398037,,,40.322475,,,39.597121,,,42.92597,
SemiGlob-LDR,40.386732,33.347874,32.326108,38.29177,32.740867,31.442986,38.475092,33.443826,32.363437,39.967296,30.424033,26.633266
SSMP-HDR,,10.835475,,,10.840715,,,11.437221,,,11.625995,
SSMP-LDR,13.657079,11.089483,10.051154,12.266993,9.510302,8.838263,12.710844,10.794619,10.376316,21.528647,12.077341,12.717946
